n_dim,seed,model,auc,best_params
2,0,LogReg,0.5009,{'C': 0.0031622776601683794}
2,1,LogReg,0.4369,{'C': 3.1622776601683795}
2,2,LogReg,0.5728,{'C': 3.1622776601683795}
2,3,LogReg,0.5110,{'C': 3.1622776601683795}
2,4,LogReg,0.4791,{'C': 1.0}
2,0,RBF SVM,0.8255,"{'C': 316.22776601683796, 'gamma': 0.31622776601683794}"
2,1,RBF SVM,0.8671,"{'C': 1000.0, 'gamma': 0.1}"
2,2,RBF SVM,0.8226,"{'C': 1.0, 'gamma': 3.1622776601683795}"
2,3,RBF SVM,0.8016,"{'C': 0.03162277660168379, 'gamma': 10.0}"
2,4,RBF SVM,0.9072,"{'C': 1000.0, 'gamma': 0.1}"
